iteration,mean_survival,mean_return,loss,mean_value,entropy,lr,eval_survival,jump_ratio,time_s
273,24.37,18.9137,22.8947,22.0436,0.2517,1.0e-04,,,10.2
274,24.90,19.4355,23.4426,21.8360,0.2467,1.0e-04,,,10.2
275,24.00,18.6039,23.3200,22.2351,0.2526,1.0e-04,,,10.2
276,24.60,19.1488,24.8848,22.3157,0.2519,1.0e-04,,,10.2
277,24.68,19.2430,23.2657,22.3206,0.2557,1.0e-04,,,10.2
278,24.83,19.3531,23.2447,22.2679,0.2640,1.0e-04,,,10.2
279,24.79,19.3051,24.3654,22.2459,0.2541,1.0e-04,,,10.2
280,24.51,18.9918,23.7243,21.9620,0.2540,1.0e-04,24.59,0.38,10.2
281,24.54,19.0824,24.3156,21.7543,0.2629,1.0e-04,,,10.2
282,26.39,20.7500,23.2030,21.9130,0.2582,1.0e-04,,,10.2
283,24.16,18.6937,22.9396,22.1846,0.2615,1.0e-04,,,10.2
284,24.12,18.6570,23.2224,21.6638,0.2620,1.0e-04,,,10.2
285,25.11,19.5785,25.0747,22.1186,0.2628,1.0e-04,,,10.2
286,25.35,19.7633,23.2577,22.2770,0.2620,1.0e-04,,,10.2
287,25.03,19.5160,23.2885,21.8371,0.2669,1.0e-04,,,10.2
288,24.89,19.3887,23.4877,21.8122,0.2663,1.0e-04,,,10.2
289,25.46,19.8676,23.8434,21.7338,0.2642,1.0e-04,,,10.2
290,25.51,19.9207,23.1880,21.8589,0.2672,1.0e-04,24.90,0.39,10.2
291,24.76,19.2398,23.8573,21.6622,0.2648,1.0e-04,,,10.2
292,25.46,19.8602,23.5561,21.8539,0.2689,1.0e-04,,,10.2
293,25.30,19.7598,24.4810,21.7899,0.2684,1.0e-04,,,10.2
294,25.84,20.1738,23.8275,21.9720,0.2754,1.0e-04,,,10.2
295,24.82,19.2715,22.9709,22.0477,0.2758,1.0e-04,,,10.2
296,25.56,19.9332,24.2260,21.7170,0.2705,1.0e-04,,,10.2
297,25.56,20.0039,23.6309,22.1938,0.2755,1.0e-04,,,10.2
298,24.39,18.8809,24.7014,22.4593,0.2765,1.0e-04,,,10.2
299,23.77,18.3789,23.1213,22.0951,0.2719,1.0e-04,,,10.1
300,25.47,19.9117,24.4190,22.1195,0.2811,1.0e-04,24.79,0.39,10.2
301,24.88,19.3621,23.9846,22.1029,0.2845,1.0e-04,,,10.2
302,24.56,19.1016,22.6218,22.0743,0.2906,1.0e-04,,,10.1
303,25.38,19.8637,24.8918,22.0091,0.2880,1.0e-04,,,10.2
304,25.78,20.2211,24.4264,22.1493,0.2872,1.0e-04,,,10.2
305,24.79,19.2719,23.4481,22.3391,0.2883,1.0e-04,,,10.2
306,24.64,19.1863,23.4699,22.3115,0.2919,1.0e-04,,,10.1
307,24.57,19.0480,23.8012,22.2100,0.2924,1.0e-04,,,10.2
308,24.99,19.3848,23.8247,22.0724,0.2883,1.0e-04,,,10.2
309,24.52,19.0195,23.7570,22.1814,0.2943,1.0e-04,,,10.1
310,25.33,19.7395,23.8738,21.9336,0.2940,1.0e-04,25.66,0.40,10.2
311,24.86,19.2641,23.0876,22.0410,0.2939,1.0e-04,,,10.2
312,24.06,18.5363,21.9619,21.5951,0.2970,1.0e-04,,,10.2
