generation,best_fitness,mean_fitness,median_fitness,sigma,time_s
483,10.05,9.36,9.58,0.4516,16.5
484,10.31,9.90,9.96,0.4508,16.5
485,10.19,9.63,9.64,0.4503,16.5
486,12.02,10.40,10.66,0.4495,16.5
487,10.72,10.14,10.17,0.4484,16.5
488,10.39,9.69,9.84,0.4477,16.5
489,11.00,10.09,10.38,0.4470,16.5
490,10.62,9.91,10.05,0.4465,16.5
491,11.41,10.45,10.62,0.4457,16.5
492,11.56,11.02,11.05,0.4451,16.5
493,11.39,10.28,10.29,0.4444,16.5
494,10.66,10.04,10.16,0.4436,16.5
495,10.75,10.16,10.37,0.4429,16.5
496,10.91,10.32,10.27,0.4419,16.5
497,10.22,9.73,9.91,0.4409,16.5
498,11.09,10.04,10.02,0.4401,16.5
499,11.38,10.88,10.92,0.4387,16.5
500,9.52,9.15,9.16,0.4379,16.5
